ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-0060,Distance,measurement; separation,Measurement & spatial,Distance,The measured separation between game elements.,Core spatial rule,inches; cm; range band,"Define where measurement begins and ends: base edge, centre, silhouette, token edge.",All,Generic / cross-system,AOS;LEGION;INF-WIKI,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://infinitythewiki.com/Introduction,2026-09-23,distance measurement; separation measurement & spatial distance
WG-0061,Range,weapon range; effect range,Measurement & spatial,Range,The maximum or banded distance at which an attack or effect may reach.,Limits targeting/effects,inches; cm; range band,Range may be numeric or abstract bands such as Short/Medium/Long.,40K; MCP; Legion; Infinity,Generic / cross-system,40K-QS;MCP;LEGION;INF-N5,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://www.atomicmassgames.com/mcp-rules/ | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,range weapon range; effect range measurement & spatial range
WG-0062,Range band,short; medium; long; extreme,Measurement & spatial,Range band,A discrete distance category rather than a single numeric distance.,Abstracts measurement,band/category,Useful for compact profiles and bespoke measuring tools.,MCP; Legion; some historical games,Generic / cross-system,MCP;LEGION;BOLT-REF,https://www.atomicmassgames.com/mcp-rules/,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,2026-09-23,range band short; medium; long; extreme measurement & spatial range band
WG-0063,Short range,close range,Measurement & spatial,Range band,"A near-distance band, often with better accuracy or different effects.",Range modifier/band,band or inches,,MCP; Bolt Action-style modifiers,Generic / cross-system,MCP;BOLT-REF,https://www.atomicmassgames.com/mcp-rules/,https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,2026-09-23,short range close range measurement & spatial range band
WG-0064,Long range,extended range,Measurement & spatial,Range band,"A distant band, often imposing penalties or reducing effect.",Range modifier/band,band or inches,,Bolt Action; Antares; MCP,Generic / cross-system,BOLT-REF;MCP,https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,https://www.atomicmassgames.com/mcp-rules/,2026-09-23,long range extended range measurement & spatial range band
WG-0065,Extreme range,maximum band,Measurement & spatial,Range band,A furthest optional range band with severe penalties or restrictions.,Extends weapon reach,band or inches,,Antares / historical designs,Generic/common,BOLT-REF,https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,,2026-09-23,extreme range maximum band measurement & spatial range band
WG-0066,Minimum range,dead zone,Measurement & spatial,Range constraint,A lower distance limit inside which a weapon or effect cannot be used normally.,Creates dead zone,inches; cm; band,,Artillery-style weapons,Generic/common,FOW;BOLT,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,2026-09-23,minimum range dead zone measurement & spatial range constraint
WG-0067,Maximum range,max range,Measurement & spatial,Range constraint,The furthest legal distance for an attack or effect.,Caps reach,inches; cm; band,,Cross-system,Generic / cross-system,40K-QS;LEGION;INF-N5,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,maximum range max range measurement & spatial range constraint
WG-0068,Half range,close-range threshold,Measurement & spatial,Range threshold,A threshold equal to half a weapon's listed range used to switch rules or bonuses.,Conditional range breakpoint,distance,Useful for rapid-fire or optimal-range mechanics.,40K,Generic / cross-system,40K-QS,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,,2026-09-23,half range close-range threshold measurement & spatial range threshold
WG-0069,Within,inside range; at most,Measurement & spatial,Containment,At least part of the relevant object lies inside the stated distance or area.,Defines spatial eligibility,,Needs a precise measurement convention.,Legion; AoS,Generic / cross-system,LEGION;AOS,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,within inside range; at most measurement & spatial containment
WG-0070,Wholly within,completely within,Measurement & spatial,Containment,"The entire relevant base, model volume or unit must lie inside the stated area.",Stricter spatial eligibility,,Define whether every model or entire base must qualify.,AoS; Legion,Generic / cross-system,AOS;LEGION,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,wholly within completely within measurement & spatial containment
WG-0071,Not within,outside range,Measurement & spatial,Containment,The relevant object is outside a stated distance or area.,Defines exclusion zone,,,Legion; deployment rules,Generic / cross-system,LEGION,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,,2026-09-23,not within outside range measurement & spatial containment
WG-0072,Base,base edge; footprint,Measurement & spatial,Physical footprint,The physical footprint beneath a miniature used for placement and measurement.,Defines occupied space,mm diameter/shape,Rules should say whether protruding model parts matter.,Legion; Infinity; Malifaux,Generic / cross-system,LEGION;INF-WIKI;MALIFAUX,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://infinitythewiki.com/Introduction | https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,base base edge; footprint measurement & spatial physical footprint
WG-0073,Base contact,base-to-base; B2B,Measurement & spatial,Contact,Two game elements are touching according to the system's base/footprint convention.,Defines adjacency/contact,touching,"Often used for melee, interaction, objectives and transport.",Legion; Malifaux; 40K,Generic / cross-system,LEGION;MALIFAUX;40K-QS,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://malifauxrules.com/rules/sections/2-glossary | https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,base contact base-to-base; b2b measurement & spatial contact
WG-0074,Silhouette,volume; size template,Measurement & spatial,Abstract volume,A standardised game volume used instead of the sculpt's actual shape.,Normalises LOS/space,size category/template,Extremely useful where dynamic poses would otherwise affect rules.,Infinity,"System-specific term, generic concept",INF-WIKI,https://infinitythewiki.com/Introduction,,2026-09-23,silhouette volume; size template measurement & spatial abstract volume
WG-0075,Size,Sz; scale; size class,Measurement & spatial,Size,"A categorical measure of model or terrain scale used by movement, throws, cover or LOS.",Spatial classification,integer/category,Keep separate from base size if both matter.,MCP; Malifaux; Infinity,Generic / cross-system,MCP;MALIFAUX;INF-WIKI,https://www.atomicmassgames.com/mcp-rules/,https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction,2026-09-23,size sz; scale; size class measurement & spatial size
WG-0076,Height,Ht; elevation,Measurement & spatial,Vertical size,A vertical measurement or category used for terrain and LOS.,Vertical spatial rule,inches; mm; category,,Malifaux; terrain systems,Generic / cross-system,MALIFAUX;LEGION,https://malifauxrules.com/rules/sections/2-glossary,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,height ht; elevation measurement & spatial vertical size
WG-0077,Facing,orientation,Measurement & spatial,Orientation,The direction a model or unit is considered to face.,Controls arcs/movement,angle/direction,Many modern systems remove facing; include it only when it earns its complexity.,Infinity; vehicle games,Generic / cross-system,INF-WIKI;FOW,https://infinitythewiki.com/Introduction,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,2026-09-23,facing orientation measurement & spatial orientation
WG-0078,Front arc,front 180; frontal arc,Measurement & spatial,Arc,The forward angular area of a model or vehicle.,Limits LOS/fire/armour,degrees,Common with vehicles and games using facing.,Infinity; vehicle games,Generic / cross-system,INF-WIKI;FOW,https://infinitythewiki.com/Introduction,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,2026-09-23,front arc front 180; frontal arc measurement & spatial arc
WG-0079,Side arc,flank arc,Measurement & spatial,Arc,The side angular area of a model or vehicle.,Armour/attack location,degrees,,Flames of War; vehicle games,Generic / cross-system,FOW,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,,2026-09-23,side arc flank arc measurement & spatial arc
WG-0080,Rear arc,rear; back arc,Measurement & spatial,Arc,The rear angular area of a model or vehicle.,Weak facing / attack location,degrees,,Flames of War; vehicle games,Generic / cross-system,FOW,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,,2026-09-23,rear arc rear; back arc measurement & spatial arc
WG-0081,Firing arc,weapon arc; fire arc,Measurement & spatial,Arc,The angular region in which a weapon can legally target.,Constrains weapon targeting,degrees/printed arc,,Vehicle and spaceship miniatures games,Generic/common,FOW;LEGION,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,2026-09-23,firing arc weapon arc; fire arc measurement & spatial arc
WG-0082,Zone,area; region,Measurement & spatial,Area,A defined part of the battlefield with shared rules or scenario meaning.,Spatial container,shape/area,,Scenario and control games,Generic / cross-system,MCP;MALIFAUX;AOS,https://www.atomicmassgames.com/mcp-rules/,https://malifauxrules.com/rules/sections/2-glossary | https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,zone area; region measurement & spatial area
WG-0083,Zone of Control,ZoC; control radius,Measurement & spatial,Proximity zone,"An area around a model within which it exerts awareness, control or reaction effects.",Proximity interaction,radius,"May drive reactions, movement restrictions or engagement.",Infinity,"System-specific term, generic concept",INF-WIKI,https://infinitythewiki.com/Introduction,,2026-09-23,zone of control zoc; control radius measurement & spatial proximity zone
WG-0084,Engagement Range,melee range; combat range,Measurement & spatial,Proximity zone,The distance at which opposing models or units count as engaged in close combat.,Switches combat state,inches/category,Do not confuse with weapon reach if the system separates them.,40K; Malifaux; AoS,Generic / cross-system,40K-QS;MALIFAUX;AOS,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://malifauxrules.com/rules/sections/2-glossary | https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,2026-09-23,engagement range melee range; combat range measurement & spatial proximity zone
WG-0085,Combat range,melee zone; engagement range,Measurement & spatial,Proximity zone,A defined proximity within which models are considered in combat or able to fight.,Defines close combat,inches/category,,AoS,Generic / cross-system,AOS,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,,2026-09-23,combat range melee zone; engagement range measurement & spatial proximity zone
WG-0086,Coherency,formation spacing; unit cohesion,Measurement & spatial,Formation,A rule requiring models in a unit to remain within a specified spacing relationship.,Keeps multi-model units together,inches/cm,Specify when coherency is checked and how casualties repair breaks.,AoS; 40K; Infinity,Generic / cross-system,AOS;40K-QS;INF-WIKI,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://infinitythewiki.com/Introduction,2026-09-23,coherency formation spacing; unit cohesion measurement & spatial formation
